price,location,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,accomodation_type,url
105000000,"Москва, ЦАО, р-н Тверской, Большая Грузинская ул., 69",Белорусская,2,10,115.0,unknown,45.0,2008,Дизайнерский,3.0,На улицу,Вторичка,https://www.cian.ru/sale/flat/306567075/
20206500,"Москва, СВАО, р-н Останкинский, ул. Годовикова, 11к5",Алексеевская,34,37,28.5,21.4,unknown,2024,"Без отделки, предчистовая, чистовая",3.01,На улицу,Новостройка,https://www.cian.ru/sale/flat/306568424/
78800000,"Москва, ЦАО, р-н Якиманка, Мытная ул., 40к1",Серпуховская,2,22,134.5,80.0,45.0,2020,Дизайнерский,2.7,На улицу,Вторичка,https://www.cian.ru/sale/flat/305430394/
14757511,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/1к6",Трикотажная,2,27,40.1,12.9,unknown,2027,Предчистовая,2.85,Во двор,Новостройка,https://www.cian.ru/sale/flat/306515308/
310361512,"Москва, ЗАО, р-н Очаково-Матвеевское, Нежинская ул., 1к1",Давыдково,26,31,246.7,140.9,28.0,2008,Дизайнерский,3.1,unknown,Вторичка,https://www.cian.ru/sale/flat/301450189/
31438200,"Москва, СВАО, р-н Останкинский, АйЛав жилой комплекс",Алексеевская,17,26,69.4,52.1,unknown,2024,"Без отделки, предчистовая, чистовая",3.0,unknown,Новостройка,https://www.cian.ru/sale/flat/306829888/
42800000,"Москва, ЦАО, р-н Якиманка, Мытная ул., 42с1",Шаболовская,28,29,53.4,unknown,unknown,unknown,Дизайнерский,unknown,На улицу,Вторичка,https://www.cian.ru/sale/flat/306214705/
19757175,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/1к1",Трикотажная,5,48,56.42,20.4,unknown,2027,Предчистовая,2.85,Во двор,Новостройка,https://www.cian.ru/sale/flat/306515607/
49954800,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5с1",Китай,7,8,53.2,unknown,24.1,2022,Евроремонт,3.0,unknown,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/301496936/
6914200,"Московская область, Одинцовский городской округ, Перхушково село, Равновесие микрорайон, 5",Толстопальцево,2,6,36.2,21.1,unknown,2024,"Без отделки, предчистовая, черновая, чистовая",2.7,unknown,Новостройка,https://odintsovo.cian.ru/sale/flat/293544818/
