price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
3650000,"Московская область, Дмитров",56.3694538016036,37.5426239100936,unknown,13,14,26.44,unknown,unknown,2025,unknown,unknown,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,unknown,https://dmitrov.cian.ru/sale/flat/303623371/
3700000,"Московская область, Солнечногорск городской округ, Менделеево рп, ул. Институтская, 19",56.032066,37.236812,Зеленоград,5,5,29.5,18.1,6.0,1970,Без ремонта,2.5,Во двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://solnechnogorsk.cian.ru/sale/flat/299635233/
3748680,"Московская область, Сергиево-Посадский район, Хотьково",56.24151899366031,37.98536573613363,unknown,2,9,34.71,15.0,8.5,2025,"Без отделки, предчистовая, чистовая",unknown,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ТехноСтройОлимп,https://khotkovo.cian.ru/sale/flat/305647242/
3739300,"Московская область, Сергиево-Посадский район, Хотьково",56.2413158654015,37.9858270760845,unknown,1,9,34.18,14.8,8.3,2024,"Без отделки, предчистовая, чистовая",unknown,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ТехноСтройОлимп,https://khotkovo.cian.ru/sale/flat/304675576/
3790000,"Московская область, Одинцовский городской округ, Большие Вяземы рп, ул. Городок-17, 13",55.637698,37.016339,Одинцово,5,5,27.0,16.0,6.0,1966,Косметический,unknown,На улицу,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://odintsovo.cian.ru/sale/flat/306612605/
3790000,"Московская область, Рузский городской округ, Тучково рп, Дружный микрорайон, 15",55.6031466271516,36.4959139735704,unknown,4,5,28.59,14.2,7.0,2022,Неизвестно,2.52,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ТехноСтройОлимп,https://ruza.cian.ru/sale/flat/306224273/
3770000,"Московская область, Рузский городской округ, Тучково рп, Дружный микрорайон, 14",55.6033349208317,36.4972979934227,unknown,5,5,28.59,14.2,7.0,2022,Неизвестно,2.52,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ТехноСтройОлимп,https://ruza.cian.ru/sale/flat/304482120/
3865000,"Москва, ВАО, р-н Северное Измайлово, Сиреневый бул., 15",55.803155,37.785009,Щёлковская,2,6,13.2,5.2,3.0,1961,Без ремонта,2.8,unknown,Блочный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/279298831/
3891788,"Московская область, Одинцовский городской округ, Звенигород, 3-й микрорайон, 13",55.7225295256972,36.874240927924,Крёкшино,1,17,37.5,unknown,unknown,2023,Без отделки,2.8,unknown,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://zvenigorod.cian.ru/sale/flat/300300366/
3890220,"Московская область, Солнечногорск городской округ, Радумля деревня",56.0709467735533,37.1423783869228,Зеленоград,1,9,28.19,unknown,unknown,2024,Без отделки,unknown,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Класс,https://solnechnogorsk.cian.ru/sale/flat/303573540/
