price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
50512600,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39",55.7534466956524,37.5266824959225,unknown,13,41,117.95,59.6,16.0,2024,Без отделки,3.1,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Класс,https://www.cian.ru/sale/flat/293376127/
50380000,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к8",55.7525254827014,37.5272323487721,unknown,30,51,100.0,48.9,16.0,2023,Без отделки,3.1,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Класс,https://www.cian.ru/sale/flat/293376098/
50589180,"Москва, ВАО, р-н Сокольники, ул. Матросская Тишина, 1А",55.7826257078137,37.6892038822767,Сокольники,22,28,114.3,80.3,unknown,2027,-,3.0,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,STONE,https://www.cian.ru/sale/flat/306596325/
50601089,"Москва, СЗАО, р-н Хорошево-Мневники, Сидней Сити жилой комплекс, к2/2",55.767656,37.504717,Хорошёво,34,44,91.2,48.2,18.8,2024,"Без отделки, предчистовая, чистовая",3.15,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ФСК,https://www.cian.ru/sale/flat/295217090/
50390000,"Москва, СВАО, р-н Бутырский, Квартал Монс жилой комплекс",55.8203130651862,37.5950207830806,Улица Милашенкова,7,27,125.2,56.2,27.5,2027,Предчистовая,2.98,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Брусника,https://www.cian.ru/sale/flat/305487534/
50314880,"Москва, ЮЗАО, р-н Обручевский, Эвер жилой комплекс, 1",55.658520304416975,37.52990763355577,Воронцовская,19,34,102.1,62.1,unknown,2023,"Без отделки, предчистовая",3.15,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/301356691/
50361522,"Москва, ЦАО, р-н Замоскворечье, Дубининская ул.",55.726366769713465,37.64017740244845,Павелецкая,23,28,99.15,unknown,unknown,2026,unknown,3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/297092232/
51100000,"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к4",55.797483,37.495096,Октябрьское поле,3,19,108.37,unknown,unknown,2011,Евроремонт,2.9,Во двор,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/288596618/
51117600,"Москва, СВАО, р-н Марфино, Ботаническая ул., 29Ак3",55.8339522657528,37.5921917202368,Улица Милашенкова,13,31,112.1,81.2,25.9,2024,"Без отделки, черновая",3.2,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК Основа,https://www.cian.ru/sale/flat/297432276/
50865755,"Москва, СЗАО, р-н Хорошево-Мневники, Сидней Сити жилой комплекс, к5/2",55.7669319256023,37.50625775042,Звенигородская откроется,14,43,94.1,46.3,8.1,2025,"Без отделки, предчистовая, чистовая",3.15,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ФСК,https://www.cian.ru/sale/flat/295217223/
51123430,"Москва, ЗАО, р-н Раменки, Кинематографический квартал",55.692173859999,37.4768693801301,Мичуринский проспект,48,50,123.1,unknown,unknown,2027,"Без отделки, чистовая с мебелью",3.05,unknown,Монолитный,unknown,unknown,unknown,Новостройка,ДОНСТРОЙ,https://www.cian.ru/sale/flat/306643480/
50716652,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Берзарина",55.7907115518766,37.4614417804257,Серебряный Бор,13,20,86.75,55.2,5.2,2027,Без отделки,3.0,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,St Michael,https://www.cian.ru/sale/flat/304242510/
50980840,"Москва, ЗАО, р-н Филевский парк, Фили Сити жилой комплекс",55.7423225102259,37.5095364775231,Фили,5,57,82.36,unknown,unknown,2024,"Предчистовая, чистовая",2.9,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306067897/
50821140,"Москва, ЗАО, р-н Раменки, Винницкая ул., 8к1",55.700983,37.493479,Раменки,5,28,104.8,55.1,21.4,2022,Без отделки,3.12,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Класс,https://www.cian.ru/sale/flat/305011072/
50858333,"Москва, Винницкая ул., 8к2",55.700862,37.495006,Раменки,3,28,106.1,59.3,23.8,2022,unknown,3.12,unknown,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/306176739/
50721361,"Москва, ЮАО, р-н Даниловский, Шагал жилой комплекс, 1-я очередь, к5",55.6879014550734,37.6402560446651,ЗИЛ,24,28,122.9,57.2,22.4,2024,Без отделки,2.7,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка,Группа Эталон,https://www.cian.ru/sale/flat/303392189/
51342375,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/1к1",55.82976,37.407546,Трикотажная,46,48,137.21,50.7,unknown,2027,Предчистовая,2.85,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306515663/
51589500,"Москва, ЗАО, р-н Раменки, Кинематографический квартал",55.692173859999,37.4768693801301,Мичуринский проспект,41,50,126.6,42.7,42.3,2027,"Без отделки, чистовая с мебелью",3.1,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,ДОНСТРОЙ,https://www.cian.ru/sale/flat/306643387/
