price,location,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,accomodation_type,url
84500000,"Москва, ЦАО, р-н Замоскворечье, Большой Ордынский пер., 4С4",Третьяковская,2,5,75.1,55.0,10.0,2020,Дизайнерский,unknown,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/301628710/
105000000,"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 8с1",Деловой центр,50,75,212.0,unknown,unknown,2010,Дизайнерский,unknown,На улицу и двор,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/281696626/
186750480,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3",Аэропорт,32,37,177.1,unknown,42.0,2006,Евроремонт,3.0,unknown,Вторичка,https://www.cian.ru/sale/flat/298870082/
243000000,"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 6с2",Деловой центр,40,60,175.2,unknown,unknown,2011,Дизайнерский,unknown,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/274247449/
12300000,"Московская область, Балашиха, мкр. Железнодорожный (Ольгино), Ольгино микрорайон, ул. Жилгородок, 9А",Ольгино,15,16,76.0,45.0,11.0,2006,Евроремонт,2.75,На улицу и двор,Вторичка,https://balashikha.cian.ru/sale/flat/305942595/
17000000,"Москва, НАО (Новомосковский), Сосенки деревня, ул. Ясеневая, 1к1",Ольховая,6,9,60.0,25.0,25.0,2013,Евроремонт,3.1,На улицу,Вторичка,https://www.cian.ru/sale/flat/303783084/
19581878,"Москва, ЮВАО, р-н Нижегородский, Автомобильный проезд, 4",Волгоградский проспект,6,21,76.48,unknown,unknown,2024,Без отделки,3.0,unknown,Новостройка / Апартаменты,https://www.cian.ru/sale/flat/302241294/
35950000,"Москва, ЦАО, р-н Арбат, Смоленская ул., 10",Смоленская,9,9,49.0,unknown,10.0,1964,Евроремонт,2.7,На улицу,Вторичка,https://www.cian.ru/sale/flat/296723055/
44900000,"Москва, ЦАО, р-н Тверской, 1-й Самотечный пер., 17А",Достоевская,3,5,82.9,unknown,unknown,1935,Дизайнерский,3.1,unknown,Вторичка,https://www.cian.ru/sale/flat/301496697/
61900000,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Нижние Мневники",Мнёвники,20,22,104.2,47.3,24.7,2024,Чистовая,3.0,unknown,Новостройка,https://www.cian.ru/sale/flat/303387832/
72999999,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк1",Улица Сергея,36,56,167.0,unknown,25.0,2014,Евроремонт,3.1,На улицу,Вторичка,https://www.cian.ru/sale/flat/304495789/
81000000,"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул., 16к3",Алексеевская,11,18,125.0,100.0,15.0,2021,Дизайнерский,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/303191960/
